timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
309410003756041,0.00352478,0.00807190,-1.00758362,0.244141,0.061035,-0.061035
309410011292541,0.00355530,0.00769043,-1.00671387,0.366211,0.061035,-0.122070
309410013877333,0.00361633,0.00729370,-1.00534058,0.305176,0.061035,-0.122070
309410019042833,0.00350952,0.00712585,-1.00498962,0.305176,0.061035,-0.061035
309410024121583,0.00315857,0.00697327,-1.00590515,0.366211,0.061035,-0.183105
309410029050041,0.00308228,0.00697327,-1.00752258,0.366211,-0.061035,-0.122070
309410034100333,0.00334167,0.00738525,-1.00869751,0.305176,0.000000,-0.122070
309410039186000,0.00372314,0.00787354,-1.00859070,0.122070,0.000000,-0.061035
309410044349791,0.00405884,0.00807190,-1.00737000,0.427246,0.000000,-0.061035
309410049477500,0.00431824,0.00794983,-1.00617981,0.488281,-0.061035,-0.061035
309410054543666,0.00433350,0.00779724,-1.00573730,0.183105,0.061035,-0.122070
309410059653291,0.00411987,0.00773621,-1.00599670,0.244141,-0.122070,-0.183105
309410064772750,0.00395203,0.00759888,-1.00679016,0.366211,0.122070,-0.122070
309410069569583,0.00372314,0.00756836,-1.00773621,0.488281,0.183105,0.000000
309410074646625,0.00369263,0.00791931,-1.00834656,0.305176,0.061035,-0.061035
309410079732208,0.00381470,0.00825500,-1.00790405,0.244141,0.061035,-0.122070
309410084847416,0.00378418,0.00822449,-1.00683594,0.305176,0.122070,-0.183105
309410089929375,0.00352478,0.00819397,-1.00636292,0.366211,0.122070,-0.061035
309410094565833,0.00325012,0.00846863,-1.00688171,0.366211,0.183105,-0.061035
309410099172291,0.00282288,0.00862122,-1.00746155,0.183105,0.061035,-0.061035
309410104246916,0.00231934,0.00851440,-1.00712585,0.427246,0.061035,-0.183105
309410109329291,0.00201416,0.00849915,-1.00645447,0.305176,0.061035,-0.061035
309410114446083,0.00222778,0.00848389,-1.00611877,0.366211,-0.061035,-0.061035
309410119560125,0.00276184,0.00813293,-1.00628662,0.305176,0.000000,-0.061035
309410124634500,0.00317383,0.00778198,-1.00654602,0.488281,0.122070,-0.061035
309410129787500,0.00317383,0.00804138,-1.00666809,0.305176,0.061035,-0.061035
309410134089583,0.00285339,0.00852966,-1.00723267,0.488281,-0.061035,0.061035
309410139164916,0.00288391,0.00854492,-1.00787354,0.366211,0.061035,0.000000
309410144279416,0.00323486,0.00833130,-1.00805664,0.305176,0.000000,-0.061035
309410149389375,0.00335693,0.00820923,-1.00776672,0.244141,-0.061035,-0.122070
309410154460583,0.00315857,0.00807190,-1.00689697,0.427246,0.061035,-0.061035
309410159576875,0.00325012,0.00798035,-1.00622559,0.427246,0.000000,-0.183105
309410164659000,0.00335693,0.00822449,-1.00651550,0.305176,0.061035,-0.122070
309410169553041,0.00317383,0.00825500,-1.00730896,0.305176,0.061035,-0.122070
309410174622416,0.00314331,0.00772095,-1.00784302,0.183105,0.000000,-0.183105
309410179694500,0.00318909,0.00714111,-1.00791931,0.244141,0.000000,-0.061035
309410184709583,0.00305176,0.00682068,-1.00764465,0.305176,0.122070,-0.122070
309410189650000,0.00291443,0.00675964,-1.00700378,0.610352,0.000000,-0.061035
309410194565750,0.00286865,0.00683594,-1.00651550,0.366211,0.000000,-0.122070
309410199704708,0.00279236,0.00703430,-1.00680542,0.305176,-0.061035,-0.244141
309410204597666,0.00283813,0.00726318,-1.00738525,0.366211,0.061035,-0.061035
