timestamp_ns,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
309450391406250,0.00302124,0.00750732,-1.00685120,0.305176,0.061035,-0.061035
309450396444166,0.00326538,0.00758362,-1.00640869,0.244141,0.061035,0.000000
309450401563291,0.00366211,0.00793457,-1.00677490,0.244141,0.000000,-0.061035
309450406685750,0.00376892,0.00801086,-1.00740051,0.427246,0.061035,0.061035
309450411822416,0.00378418,0.00785828,-1.00750732,0.549316,0.122070,-0.061035
309450416826333,0.00416565,0.00779724,-1.00712585,0.366211,0.061035,0.000000
309450421850375,0.00459290,0.00794983,-1.00686646,0.549316,0.000000,-0.061035
309450426799208,0.00436401,0.00804138,-1.00698853,0.366211,0.000000,-0.061035
309450431854666,0.00346375,0.00804138,-1.00703430,0.366211,0.061035,0.061035
309450436814500,0.00282288,0.00816345,-1.00682068,0.305176,0.061035,-0.122070
309450441830833,0.00283813,0.00837708,-1.00659180,0.366211,0.122070,-0.183105
309450446846541,0.00300598,0.00843811,-1.00665283,0.183105,0.122070,-0.061035
309450451840041,0.00320435,0.00801086,-1.00683594,0.305176,0.000000,-0.122070
309450456840750,0.00315857,0.00759888,-1.00683594,0.305176,0.000000,-0.183105
309450461820541,0.00276184,0.00778198,-1.00665283,0.366211,0.183105,-0.061035
309450466835000,0.00271606,0.00820923,-1.00674438,0.427246,0.000000,-0.061035
309450471837666,0.00328064,0.00836182,-1.00706482,0.366211,-0.061035,-0.244141
309450476797875,0.00367737,0.00817871,-1.00683594,0.366211,0.061035,0.000000
309450481836333,0.00358582,0.00788879,-1.00637817,0.305176,0.000000,-0.122070
309450486474666,0.00340271,0.00770569,-1.00671387,0.366211,0.000000,-0.061035
309450491611500,0.00337219,0.00750732,-1.00752258,0.305176,0.122070,-0.183105
309450496725833,0.00338745,0.00738525,-1.00770569,0.366211,0.061035,-0.061035
309450501848208,0.00335693,0.00758362,-1.00709534,0.427246,0.061035,-0.122070
309450506830458,0.00323486,0.00802612,-1.00648499,0.183105,0.000000,-0.061035
309450511835458,0.00279236,0.00831604,-1.00659180,0.305176,0.061035,-0.061035
309450516829250,0.00262451,0.00843811,-1.00712585,0.305176,-0.061035,-0.122070
309450521832291,0.00321960,0.00848389,-1.00743103,0.366211,0.061035,-0.183105
309450526796458,0.00384521,0.00839233,-1.00740051,0.305176,0.000000,-0.061035
309450531914500,0.00381470,0.00827026,-1.00715637,0.244141,0.183105,-0.061035
309450536819333,0.00331116,0.00811768,-1.00698853,0.488281,0.000000,-0.183105
309450541823416,0.00270081,0.00791931,-1.00709534,0.305176,0.061035,-0.122070
309450546528916,0.00247192,0.00802612,-1.00712585,0.488281,0.122070,-0.122070
309450551645458,0.00268555,0.00848389,-1.00706482,0.366211,0.061035,-0.061035
309450556752000,0.00292969,0.00898743,-1.00738525,0.183105,0.061035,-0.061035
309450561830958,0.00303650,0.00914001,-1.00788879,0.427246,0.061035,0.000000
309450566832916,0.00302124,0.00880432,-1.00762939,0.366211,0.000000,-0.061035
309450571832375,0.00271606,0.00816345,-1.00688171,0.305176,0.061035,-0.183105
309450576833041,0.00242615,0.00772095,-1.00689697,0.305176,0.061035,-0.122070
309450581854375,0.00242615,0.00790405,-1.00776672,0.305176,-0.061035,-0.061035
309450586834416,0.00257874,0.00822449,-1.00817871,0.305176,0.122070,-0.183105
309450591832500,0.00291443,0.00810242,-1.00737000,0.244141,0.000000,-0.061035
309450596883500,0.00320435,0.00761414,-1.00639343,0.366211,0.000000,0.061035
309450601727291,0.00300598,0.00733948,-1.00648499,0.305176,0.061035,0.061035
309450606841708,0.00265503,0.00764465,-1.00715637,0.122070,0.000000,0.000000
309450611880166,0.00270081,0.00817871,-1.00732422,0.427246,-0.061035,-0.122070
309450616853000,0.00308228,0.00852966,-1.00671387,0.427246,0.000000,-0.244141
309450621856333,0.00340271,0.00851440,-1.00621033,0.183105,-0.061035,-0.122070
